player_name_x.1,mp_x.1,raptor_offense_x.1,raptor_defense_x.1,raptor_total_x.1,Rk,Tm,X2021.22,X2022.23,X2023.24,X2024.25,X2025.26,X2026.27,Signed.Using,Guaranteed,X,Raptor_Dollar
Montrezl Harrell,1412,1.854634941,-0.028494318,1.826140623,132,CHO,9720900,NA,NA,NA,NA,NA,MLE,9720900,NA,1.8785715551029224e-7
Rudy Gobert,1662,-0.049923265,6.665287339,6.615364074,16,UTA,35344828,38172414,41000000,43827587,46655173,NA,Bird,158344829,NA,1.8716639600000318e-7
Domantas Sabonis,1992,1.406463692,2.032864498,3.439328191,63,SAC,18562500,19937500,21312500,NA,NA,NA,1st Round pick,59812500,NA,1.852836735892256e-7
Wendell Carter Jr.,1696,-0.252187427,1.515052492,1.262865064,175,ORL,6920027,14150000,13050000,11950000,10850000,NA,1st Round Pick,50000000,NA,1.8249423940108907e-7
Mike Conley,1663,2.43514591,1.162970675,3.598116585,51,UTA,21000000,22680000,24360000,NA,NA,NA,Bird,58000000,NA,1.71338885e-7
Jrue Holiday,1794,4.116332354,0.83498897,4.951321325,31,MIL,30133333,32393333,34653333,36913333,NA,NA,Bird,97179999,NA,1.6431376260302836e-7
Cameron Payne,1007,-0.310624991,1.375741945,1.065116953,178,PHO,6500000,6000000,6500000,NA,NA,NA,Early Bird,14500000,NA,1.6386414661538462e-7
Anthony Edwards,1995,1.274431977,0.383066111,1.657498089,122,MIN,10245480,10733400,13534817,NA,NA,NA,1st Round Pick,20978880,NA,1.6177847099403834e-7
Jae Crowder,1620,-0.559937797,2.104183972,1.544246174,129,PHO,9720900,10183800,NA,NA,NA,NA,MLE,19904700,NA,1.588583540618667e-7
Jaren Jackson Jr.,1844,-0.320104751,1.749660527,1.429555776,138,MEM,9180560,23437500,25312500,27187500,29062500,NA,1st Round Pick,114180560,NA,1.5571553107871415e-7
Jordan Clarkson,1642,1.923292507,0.005527664,1.92882017,107,UTA,12420000,13340000,14260000,NA,NA,NA,Bird,25760000,NA,1.552995305958132e-7
Dorian Finney-Smith,2152,0.289802323,0.315885135,0.605687458,243,DAL,4000000,12402000,13394160,14386320,15378480,NA,Bird Rights,44182480,NA,1.514218645e-7
LaMelo Ball,1958,1.693141653,-0.448923364,1.24421829,157,CHO,8231760,8623920,10900635,NA,NA,NA,1st Round Pick,16855680,NA,1.511485138050672e-7
Donovan Mitchell,1809,5.845449751,-1.786994645,4.058455106,38,UTA,28103550,30351834,32600118,34848402,37096686,NA,Bird,125903904,NA,1.4441076326656243e-7
Draymond Green,1018,-1.006330697,4.4396562,3.433325503,45,GSW,24026712,25806469,27586225,NA,NA,NA,Bird Rights,49833181,NA,1.4289618583683027e-7
Steven Adams,1697,1.742555565,0.605190195,2.34774576,76,MEM,17073171,17926829,NA,NA,NA,NA,1st Round Pick,35000000,NA,1.3751082092482996e-7
Lonzo Ball,1212,0.092016478,2.462340855,2.554357332,62,CHI,18604651,19534884,20465117,21395348,NA,NA,Sign and Trade,58604652,NA,1.372967077963462e-7
Stephen Curry,2129,6.080678774,0.155320722,6.235999496,1,GSW,45780966,48070014,51915615,55761216,59606817,NA,Bird Rights,261134628,NA,1.362138032648765e-7
Jimmy Butler,1597,2.951598962,1.580384542,4.531983503,12,MIA,36016200,37653300,45183960,48798677,52413394,NA,Sign and Trade,167652137,NA,1.2583180632604217e-7
LeBron James,1774,4.819239401,0.234659847,5.053899248,5,LAL,41180544,44474988,NA,NA,NA,NA,Bird,85655532,NA,1.22725412466625e-7
Bam Adebayo,1426,-0.788712434,4.177920925,3.389208491,37,MIA,28103550,30351834,32600118,34848402,37096686,NA,Bird,163000590,NA,1.205971662298891e-7
Clint Capela,1614,0.650919425,1.400144152,2.051063577,75,ATL,17103448,18206897,20616000,22265280,NA,NA,Bird Rights,78191625,NA,1.1992105784751705e-7
Hamidou Diallo,1269,-0.719476193,1.340121394,0.620645201,202,DET,5200000,5200000,NA,NA,NA,NA,Bird,5200000,NA,1.1935484634615385e-7
Al Horford,1678,-0.73582704,3.913989858,3.178162818,40,BOS,27000000,26500000,NA,NA,NA,NA,Cap Space,41500000,NA,1.17709734e-7
Pat Connaughton,1457,0.13493892,0.492167547,0.627106468,199,MIL,5333333,5728395,NA,NA,NA,NA,Early Bird,5333333,NA,1.1758247009890438e-7
Kevin Love,1283,2.598902254,0.937868038,3.536770292,27,CLE,31300000,28900000,NA,NA,NA,NA,Bird Rights,60200000,NA,1.129958559744409e-7
Lauri Markkanen,1393,1.479812453,0.287339337,1.76715179,82,CLE,15690909,16475454,17259999,18044544,NA,NA,Sign and Trade,55426362,NA,1.126226523906295e-7
Chris Paul,1916,4.4194703,-1.019615531,3.399854768,29,PHO,30800000,28400000,30800000,30000000,NA,NA,Bird,75000000,NA,1.1038489506493506e-7
Kyle Lowry,1743,1.577178925,1.263165294,2.840344219,41,MIA,26984128,28333334,29682540,NA,NA,NA,Bird,85000002,NA,1.0525981121198357e-7
Kevin Durant,1459,4.114895252,-0.01523037,4.099664882,6,BRK,40918900,42969845,42969845,49856021,53282609,NA,Sign and Trade,229997220,NA,1.0019000711162811e-7
DeMar DeRozan,2231,4.438982952,-1.862229681,2.576753272,43,CHI,26000000,27300000,28600000,NA,NA,NA,Sign and Trade,81900000,NA,9.910589507692308e-8
Devin Booker,1926,3.20866353,-0.158993576,3.049669954,20,PHO,31610000,33790000,35970000,NA,NA,NA,1st round pick,101370000,NA,9.647801183169883e-8
Malcolm Brogdon,1143,2.744563152,-0.74439879900000006,2.000164353,49,IND,21700000,22600000,21634615,23365385,NA,NA,Sign and Trade,89300000,NA,9.217347248847927e-8
D'Angelo Russell,1708,3.421033686,-0.686512401,2.734521285,32,MIN,30013500,31377750,NA,NA,NA,NA,Sign and Trade,61391250,NA,9.110971013044131e-8
Robert Covington,1680,-1.713718961,2.874191136,1.160472175,102,LAC,12975471,NA,NA,NA,NA,NA,Cap Space,12975471,NA,8.943584205922081e-8
CJ McCollum,1695,3.580306528,-0.993933512,2.586373016,28,NOP,30864198,33333333,35802469,NA,NA,NA,1st Round Pick,100000000,NA,8.379848444466304e-8
Jaylen Brown,1787,0.772807376,1.262693603,2.035500978,44,BOS,24830357,26669643,28508929,NA,NA,NA,1st Round pick,80008929,NA,8.197630738857279e-8
Chris Boucher,1294,-0.400136892,0.959206199,0.559069307,171,TOR,7009615,NA,NA,NA,NA,NA,Early Bird,7009615,NA,7.975749124595289e-8
Danny Green,1024,-0.592198734,1.376296957,0.784098224,126,PHI,10000000,10000000,NA,NA,NA,NA,Early Bird,10000000,NA,7.84098224e-8
Gary Trent Jr.,1982,1.947817814,-0.790755217,1.157062598,81,TOR,16000000,17280000,18560000,NA,NA,NA,Bird,33280000,NA,7.2316412375e-8
Delon Wright,1092,-1.037081092,1.628216597,0.591135505,151,ATL,8526316,NA,NA,NA,NA,NA,Sign and Trade,8526316,NA,6.933070566467393e-8
Anthony Davis,1297,-0.110741413,2.508541265,2.397799853,15,LAL,35361360,37980720,40600080,43219440,NA,NA,Bird,113942160,NA,6.780847379738789e-8
Karl-Anthony Towns,2057,3.131078439,-1.197594284,1.933484156,21,MIN,31610000,33790000,35970000,NA,NA,NA,1st Round Pick,101370000,NA,6.116685086997786e-8
Myles Turner,1235,-1.098392099,2.177446264,1.079054166,67,IND,18000000,18000000,NA,NA,NA,NA,1st Round pick,36000000,NA,5.994745366666667e-8
Luke Kennard,1593,1.360247435,-0.602616468,0.757630967,103,LAC,12727273,13745455,14763636,14763636,NA,NA,Bird,41236364,NA,5.9528146131539726e-8
Maxi Kleber,1189,-2.516123562,3.0358174,0.519693838,145,DAL,8750000,9000000,NA,NA,NA,NA,Early Bird Rights,8750000,NA,5.9393581485714286e-8
DeAndre' Bembry,1022,-0.521979637,0.672863747,0.15088411,365,BRK,2541217,NA,NA,NA,NA,NA,,1939350,NA,5.937474446298761e-8
Damian Lillard,1056,4.187409881,-1.859814041,2.32759584,9,POR,39344900,42492492,45640084,48787676,NA,NA,1st Round Pick,176265152,NA,5.915876873495675e-8
Keldon Johnson,1954,0.683262569,-0.556950787,0.126311782,342,SAS,2145720,3873025,NA,NA,NA,NA,1st Round Pick,6018745,NA,5.8866852152191346e-8
Andrew Wiggins,1937,-0.198295597,1.890501647,1.69220605,25,GSW,31579390,33616770,NA,NA,NA,NA,1st Round Pick,65196160,NA,5.358577382273692e-8
John Collins,1663,0.721923524,0.488886288,1.210809812,47,ATL,23000000,23500000,25340000,26580000,26580000,NA,Bird,125000000,NA,5.2643904869565215e-8
Tyrese Maxey,2058,1.410126685,-1.277051844,0.133074841,308,PHI,2602920,2726880,4343920,NA,NA,NA,1st Round Pick,5329800,NA,5.1125213606257586e-8
Spencer Dinwiddie,1631,1.636194686,-0.776658947,0.859535739,74,DAL,17142857,18000000,18857143,NA,NA,NA,Sign and Trade,45142857,NA,5.013958519282988e-8
James Harden,1840,3.728710181,-1.545184294,2.183525886,4,PHI,43848000,46872000,NA,NA,NA,NA,Bird Rights,43848000,NA,4.979761644772852e-8
Tyus Jones,1237,1.109213747,-0.737961114,0.371252633,165,MEM,7522200,NA,NA,NA,NA,NA,MLE,7522200,NA,4.9354262449815216e-8
Bradley Beal,1439,1.129741926,0.396815864,1.52655779,18,WAS,34502130,37262300,NA,NA,NA,NA,Cap Space,34502130,NA,4.4245320216461996e-8
Khris Middleton,1781,2.687722187,-1.203927675,1.483794512,14,MIL,35500000,37948276,40396552,NA,NA,NA,Bird Rights,73448276,NA,4.1797028507042256e-8
Landry Shamet,1110,-0.702386043,0.84962702,0.147240977,255,PHO,3768342,9598214,10366071,11133929,11901786,NA,1st Round Pick,46768342,NA,3.907314596180495e-8
Seth Curry,1910,1.141650447,-0.862291873,0.279358574,158,BRK,8186047,8558140,NA,NA,NA,NA,MLE,16744187,NA,3.4126187401562684e-8
Aaron Gordon,1964,0.701670179,-0.182122813,0.519547366,78,DEN,16409091,19690909,21266182,22841455,22841455,NA,Bird Rights,80207637,NA,3.16621661736168e-8
Georges Niang,1404,0.741269104,-0.664252063,0.077017041,267,PHI,3300000,3465000,NA,NA,NA,NA,MLE,6765000,NA,2.333849727272727e-8
Harrison Barnes,2142,2.055469898,-1.690398057,0.365071841,54,SAC,20284091,18352273,NA,NA,NA,NA,Bird Rights,38636364,NA,1.799793941961708e-8
Brandon Ingram,1712,1.586583974,-1.083453205,0.503130768,35,NOP,29467800,31650600,33833400,36016200,NA,NA,Bird,130968000,NA,1.707391688554965e-8
Tim Hardaway Jr.,1245,0.156397481,0.201070351,0.357467832,50,DAL,21306816,19602273,17897728,16193183,NA,NA,Bird,75000000,NA,1.6777158633181043e-8
Zach LaVine,1878,2.504566572,-2.183601601,0.320964971,59,CHI,19500000,NA,NA,NA,NA,NA,Cap space,19500000,NA,1.6459742102564103e-8
Pascal Siakam,1994,0.933124861,-0.510207082,0.42291778,26,TOR,31320000,33640000,35960000,NA,NA,NA,1st Round pick,100920000,NA,1.350312196679438e-8
Monte Morris,1826,1.837394376,-1.729952783,0.107441594,154,DEN,8333333,9000000,9666667,NA,NA,NA,Bird,27000000,NA,1.2892991795719672e-8
Deandre Ayton,1360,-1.285708705,1.44612807,0.160419365,105,PHO,12632950,NA,NA,NA,NA,NA,1st Round Pick,12632950,NA,1.26984880807729e-8
Ivica Zubac,1538,-0.421479522,0.496865881,0.075386359,166,LAC,7518518,7518518,NA,NA,NA,NA,Bird Rights,7518518,NA,1.0026757799874922e-8
Nicolas Batum,1187,-1.46008261,1.542039742,0.081957132,140,CHO,12213507,12372008,NA,NA,NA,NA,,18086956,NA,6.710368446998884e-9
Buddy Hield,2005,1.210016279,-1.226822782,-0.016806503,48,IND,22477273,20522727,18568182,NA,NA,NA,1st Round pick,61568182,NA,-7.477109434049229e-10
Josh Hart,1619,0.093074357,-0.131087471,-0.038013115,111,POR,12000000,12960000,12960000,NA,NA,NA,Bird,12000000,NA,-3.167759583333333e-9
Kevin Huerter,1692,0.741479223,-0.763692906,-0.022213683,235,ATL,4253357,14508929,15669643,16830357,17991071,NA,1st Round Pick,69253357,NA,-5.222623682893301e-9
Eric Bledsoe,1361,-2.005683009,1.749629175,-0.256053834,66,POR,18125000,19375000,NA,NA,NA,NA,Bird Rights,22025000,NA,-1.4127108082758619e-8
Reggie Jackson,2026,-0.110864757,-0.103881853,-0.21474661,121,LAC,10384500,11215260,NA,NA,NA,NA,Early Bird,21599760,NA,-2.0679532957773605e-8
Caris LeVert,1338,1.237271754,-1.763142806,-0.525871052,71,CLE,17500000,18796296,NA,NA,NA,NA,1st Round pick,36296296,NA,-3.0049774399999995e-8
Devin Vassell,1527,-0.283917237,0.143856616,-0.140060621,236,SAS,4235160,4437000,5887899,NA,NA,NA,1st Round Pick,8672160,NA,-3.3070916092898496e-8
Kyle Anderson,1182,-1.358188789,0.997528249,-0.36066054,127,MEM,9937150,NA,NA,NA,NA,NA,MLE,9937150,NA,-3.629416281328147e-8
Reggie Bullock,1529,-0.743141981,0.391998736,-0.351143246,135,DAL,9536000,10012800,10489600,NA,NA,NA,MLE,25000000,NA,-3.6822907508389266e-8
De'Aaron Fox,1963,1.824427261,-2.885198517,-1.060771256,36,SAC,28103550,30351834,32600118,34848402,37096686,NA,Bird,163000590,NA,-3.7745098252711846e-8
Precious Achiuwa,1311,-2.928579798,2.807166051,-0.121413747,288,TOR,2711280,2840160,4379527,NA,NA,NA,1st Round Pick,5551440,NA,-4.4780969505178367e-8
Duncan Robinson,1746,0.284231355,-1.010321736,-0.726090381,84,MIA,15560000,16902000,18154000,19406000,19888000,NA,Bird,79910000,NA,-4.6663906233933166e-8
Kelly Oubre Jr.,1731,0.516252263,-1.100884939,-0.584632676,110,CHO,12000000,12600000,NA,NA,NA,NA,Cap Space,17000000,NA,-4.871938966666667e-8
OG Anunoby,1541,0.184316046,-1.006663564,-0.822347519,79,TOR,16071429,17357143,18642857,19928571,NA,NA,Bird,52071429,NA,-5.116828870662342e-8
Gordon Hayward,1547,-0.283570071,-1.443070176,-1.726640247,33,CHO,29900000,30100000,31500000,NA,NA,NA,Sign and Trade,91500000,NA,-5.7747165451505014e-8
Danilo Gallinari,1345,1.133963409,-2.39704361,-1.263080201,53,ATL,20475000,21450000,NA,NA,NA,NA,Sign and Trade,25475000,NA,-6.16888987057387e-8
Evan Fournier,1926,0.819252203,-1.952561055,-1.133308853,65,NYK,18139535,19046512,19953488,20860465,NA,NA,Sign and Trade,57139535,NA,-6.247728252129947e-8
Will Barton,1813,-0.575244213,-0.410011659,-0.985255873,87,DEN,15384615,16615385,NA,NA,NA,NA,Bird,32000000,NA,-6.404163334604084e-8
Tobias Harris,1966,0.348008845,-2.677875918,-2.329867072,13,PHI,36000000,38482759,40965517,NA,NA,NA,Bird Rights,115448276,NA,-6.471852977777777e-8
Jae'Sean Tate,1702,-1.03021293,0.925750127,-0.104462803,431,HOU,1517981,1782621,NA,NA,NA,NA,,NA,NA,-6.881693710263831e-8
Dwight Powell,1414,-0.13153431,-0.673228359,-0.804762668,116,DAL,11000000,11814815,NA,NA,NA,NA,Cap Space,22814815,NA,-7.316024254545455e-8
Russell Westbrook,2236,-1.557506045,-2.26317556,-3.820681606,3,LAL,44211146,47063478,NA,NA,NA,NA,Bird Rights,44211146,NA,-8.641896787746692e-8
Patty Mills,1984,1.362665443,-1.8798524,-0.517186958,189,BRK,5890000,6184500,NA,NA,NA,NA,Mini MLE,5890000,NA,-8.780763293718167e-8
Gary Harris,1668,-0.73960286,-1.078537802,-1.818140663,52,ORL,20482143,NA,NA,NA,NA,NA,1st Round Pick,20482143,NA,-8.876711108793645e-8
Mason Plumlee,1486,-1.815756919,1.082999137,-0.732757782,159,CHO,8137500,8525000,NA,NA,NA,NA,Cap space,16662500,NA,-9.004703926267281e-8
Joe Ingles,1122,-0.214815597,-1.091048162,-1.305863759,95,POR,14000000,NA,NA,NA,NA,NA,Bird Rights,14000000,NA,-9.327598278571428e-8
Jerami Grant,1360,-0.929250156,-1.004647071,-1.933897227,56,DET,20000000,20952381,NA,NA,NA,NA,Sign and Trade,40952381,NA,-9.669486135e-8
Malik Beasley,1693,0.732852614,-2.298863021,-1.566010407,90,MIN,14391964,15458035,16524106,NA,NA,NA,Bird,29849999,NA,-1.0881144554002498e-7
RJ Barrett,1894,-0.316679279,-0.668669699,-0.985348979,149,NYK,8623920,10900635,NA,NA,NA,NA,1st Round Pick,19524555,NA,-1.1425766693104759e-7
Kentavious Caldwell-Pope,1854,-1.226407121,-0.269231628,-1.495638749,100,WAS,13038862,14004703,NA,NA,NA,NA,Early Bird,17926980,NA,-1.1470623348878147e-7
Devonte' Graham,1883,1.190988281,-2.461212627,-1.270224346,115,NOP,11000000,11550000,12100000,12650000,NA,NA,Sign and Trade,37500000,NA,-1.1547494054545454e-7
Kevin Porter Jr.,1394,-0.152243397,-0.094254623,-0.24649802,344,HOU,2130240,3845083,NA,NA,NA,NA,1st Round Pick,5975323,NA,-1.1571373178608983e-7
Cory Joseph,1382,-0.310864001,-0.597882651,-0.908746652,215,DET,7310000,5155000,NA,NA,NA,NA,Room Exception,7310000,NA,-1.2431554746922026e-7
Norman Powell,1413,1.166328352,-3.140995156,-1.974666805,85,LAC,15517242,16758621,18000000,19241379,20482758,NA,Bird,90000000,NA,-1.272563001208591e-7
Josh Richardson,1224,-0.09501151,-1.455842221,-1.550853731,113,SAS,11615328,12196094,NA,NA,NA,NA,Minimum Salary,23811422,NA,-1.335178594181757e-7
Anfernee Simons,1681,2.11564746,-2.660678783,-0.545031322,250,POR,3938818,NA,NA,NA,NA,NA,1st Round Pick,3938818,NA,-1.3837433514318257e-7
Eric Gordon,1600,0.200359416,-2.884860627,-2.68450121,64,HOU,18218818,19568360,20917902,NA,NA,NA,Cap Space,37787178,NA,-1.4734771542259218e-7
Bruce Brown,1306,-0.873096846,0.099124984,-0.773971862,219,BRK,4736102,NA,NA,NA,NA,NA,,4736102,NA,-1.6341959315910005e-7
Christian Wood,1871,-0.770083201,-1.513664146,-2.283747347,97,HOU,13666667,14317459,NA,NA,NA,NA,Sign and Trade,27984126,NA,-1.6710346033893998e-7
Julius Randle,2305,-2.017409649,-1.445549207,-3.462958857,57,NYK,19800000,23760000,25660800,27561600,29462400,NA,Cap Space,96782400,NA,-1.7489691196969695e-7
Kyle Kuzma,2081,-1.259333422,-1.112262297,-2.371595719,101,WAS,13000000,13000000,13000000,NA,NA,NA,Bird,26000000,NA,-1.8243043992307692e-7
De'Andre Hunter,1124,-1.40720141,-0.060777441,-1.467978851,163,ATL,7775400,9835881,NA,NA,NA,NA,1st Round Pick,17611281,NA,-1.8879785618746303e-7
Cedi Osman,1246,-0.516063341,-1.088316963,-1.604380304,161,CLE,8050000,7350000,6650000,NA,NA,NA,MLE,15400000,NA,-1.9930190111801242e-7
